 Game Name,Dataset,Steam Id,Notes,"Format (720p, 720p60fps, etc)",Video Title,Video Url
DeadCells,dead-cells,588650,,"1080pHD, 720p",Dead Cells | Start (0BC) to End (5BC) Normal Mode - 100% all Items - EP 1 (Getting all Runes),https://www.youtube.com/watch?v=l-yDB2IRcoY
Iconoclasts,iconoclasts,393520,,"1080p60HD, 720p60",Iconoclasts - Full Game Walkthrough Longplay (No Commentary),https://www.youtube.com/watch?v=MEuilhs4YfM
Aquaria,aquaria,24420,VIEW FULL PLAYLIST,720p,Aquaria Gameplay Part 1 |No Commentary|,https://www.youtube.com/watch?v=sBr8u_0CAcs&list=PL4i_3HEScpx1Et1fxIGbILPGPXmt2SlqP
Dave The Diver,dave-the-diver,1868140,,720p60fps,Dave the Diver - Longplay 100% Full Game Walkthrough [No Commentary],https://www.youtube.com/watch?v=stCnndmvQmE
Dust: An Elysian Tail,dust-an-elysian-tail,236090,,"1440P60HD,720p60fps, 1080p60HD",DUST AN ELYSIAN TAIL Gameplay Walkthrough FULL GAME - No Commentary,https://www.youtube.com/watch?v=fd-PF-c0kDw
Hollow Knight,hollow-knight,367520,,"2160p60k,1440p60HD,1080p60HD,720P60",HOLLOW KNIGHT Full Gameplay Walkthrough / No Commentary 【FULL GAME】4K 60FPS Ultra HD,https://www.youtube.com/watch?v=G1atkq4C1KU
Icey,icey,553640,,"1440P60HD,720p60, 1080p60HD",Let's Play ICEY Gameplay Walkthrough Full Game,https://www.youtube.com/watch?v=xdJudT14PNM
Kandria,kandria,1261430,,"720p60fps, 1080p60HD",Kandria: FULL WALKTHROUGH PART 1,https://www.youtube.com/watch?v=2wylRjpWyJ8
Kandria,kandria,1261430,,"720p60fps, 1080p60HD",Kandria: FULL WALKTHROUGH PART 2,https://www.youtube.com/watch?v=UgoSSYeeNOk
Kandria,kandria,1261430,,"720p60fps, 1080p60HD",Kandria: FULL WALKTHROUGH PART 3 (ENDING),https://www.youtube.com/watch?v=g5vb_O-F_Rw
Kero Blaster,kero-blaster,292500,,"720p60fps, 1080p60HD",Kero Blaster - Longplay NO COMMENTARY,https://www.youtube.com/watch?v=91TWyL5TLxw
The Library of Babel,the-library-of-babel,1822030,,"1440P60HD,720p60, 1080p60HD",THE LIBRARY OF BABEL FULL GAME Gameplay Walkthrough - No Commentary,https://www.youtube.com/watch?v=cOj9MisiAck
Nom Nom Galaxy,nom-nom-galaxy,410760,VIEW FULL PLAYLIST,"720p60fps, 1080p60HD",Stumpt Price Plays - Nom Nom Galaxy - #1,https://www.youtube.com/watch?v=NV1iHG8x8Wk&list=PLM03VPTxa5E23s-dcO6-93GjUOXMlhpHH
Phoenotopia Awakening,phoenotopia-awakening,1436590,VIEW FULL PLAYLIST,720p60fps,Let's play Phoenotopia Awakening! Ep.1,https://www.youtube.com/watch?v=3THrI6IElAM&list=PLj2otb2RsQC21LETjNIYYceb8QwxE7NmS
Pixel Privateers,pixel-privateers,342640,VIEW FULL PLAYLIST,720p60fps,Let's Play Pixel Privateers Co-Op - Multiplayer Gameplay Part 1 - Four Idiots Destroy The Universe,https://www.youtube.com/watch?v=PKjPj6Xqc3o&list=PLVmM0UVcquYJ9gxgH016O6evzFrA7OtBg
Tevi,tevi,2230650,,"1080pHD, 720p",TEVI Gameplay Walkthrough FULL GAME - No Commentary Part 1 / 2,https://www.youtube.com/watch?v=TM_Q4cT1xi0
Tevi,tevi,2230650,,"1080pHD, 720p",TEVI Gameplay Walkthrough FULL GAME - No Commentary Part 2 / 2,https://www.youtube.com/watch?v=aoa-DuAu9UU
Aground,aground,876650,VIEW FULL PLAYLIST,720p,Aground (Full Release) | Part 1 | Let's Begin Again,https://www.youtube.com/watch?v=ANxpVGzfpB4&list=PLwX68vE-Iqjz4VkEjRbB3uOiQ0767jGLy
DIG - Deep In Galaxies,dig-deep-in-galaxies,1442840,,"1080pHD, 720p",DIG - Deep In Galaxies💙💛Lets play / No comments.,https://www.youtube.com/watch?v=7MWjbA-Sn_s
Webbed,webbed,1390350,,"1080p60HD, 720p",Webbed - Full Game Walkthrough [All Achievements],https://www.youtube.com/watch?v=vdrv_EDacNI
(the) Gnorp Apologue,gnorp-apologue,1473350,VIEW FULL PLAYLIST,"1080pHD, 720p",Tiny Minions vs GIANT TREASURE ROCK! - the Gnorp Apologue Gameplay,https://www.youtube.com/watch?v=uEJgU8LP3do&list=PL3eyfli1l2fnphYCM19LwkdyCOtpMRLFt
Until We Die,until-we-die,1197570,,"720p60fps, 1080p60HD",Until We Die Full Playthrough / Longplay / Walkthrough (no commentary),https://www.youtube.com/watch?v=CbMD1QpX8qk
Steamworld Dig,steamworld-dig,252410,,"720p60fps, 1080p60HD","SteamWorld Dig // Full Game Walkthrough - No Commentary Gameplay (1080p HD, Nintendo Switch)",https://www.youtube.com/watch?v=EovDyR7nfDQ
Steamworld Dig 2,steamworld-dig,571310,,"720p60fps, 1080p60HD",SteamWorld Dig 2 FULL GAME Walkthrough Gameplay PS4 Pro (No Commentary),https://www.youtube.com/watch?v=uKeo2a6_G5M
Regions of Ruin,regions-of-ruin,680360,,"1080pHD, 720p",Regions Of Ruin Early Access Gameplay no commentary,https://www.youtube.com/watch?v=AHmGbWbV8Hk
Apotheon,apotheon,208750,,"1080pHD, 720p",[ Apotheon ] Campaign / Gameplay [No Commentary],https://www.youtube.com/watch?v=cKWkdjqEbVw
